#;Empresa;Ticker;Indice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
1;ACS;ACS.MC;IBEX 35;Construcción;12,05;1,78;1081180000,0;1458163000,0;-310593422,0;6,0;4,16;14,64;2,14;1234852000,0;1006805000,0;53006777,0;6,32;4,78;17,55;1,97;3294669000,0;2132023000,0;50787197,0;6,19;4,11;19,74;2,1;3237331000,0;2303003000,0;169563750,0;6,8;4,85;19,74;2,1;3237331000,0;2303003000,0;169563750,0;6,8;4,85
2;Acerinox;ACX.MC;IBEX 35;Acero;22,48;8,8;532875000,0;407366000,0;263795797,0;12,51;10,29;9,47;3,74;454716000,0;306573000,0;-57043267,0;9,5;6,91;8,9;3,48;288944000,0;88888000,0;-84640570,0;11,26;8,31;-1,94;-0,71;-79677000,0;145686000,0;-175095960,0;6,55;3,17;-1,94;-0,71;-79677000,0;145686000,0;-175095960,0;6,55;3,17
3;Amadeus IT;AMS.MC;IBEX 35;Tecnología;14,49;5,67;375200000,0;874100000,0;33320906,0;36,46;21,36;24,93;10,35;94000000,0;1194400000,0;530316159,0;39,22;26,72;24,75;10,63;1418800000,0;1357900000,0;636749831,0;38,32;26,91;27,52;11,64;1984100000,0;1386300000,0;721382156,0;38,89;27,62;27,52;11,64;1984100000,0;1386300000,0;721382156,0;38,89;27,62
4;Acciona;ANA.MC;IBEX 35;Construcción;9,03;1,95;288000000,0;-547000000,0;-384798527,0;17,63;10,06;10,8;1,71;1842000000,0;-1199000000,0;-540501978,0;14,25;7,83;8,77;1,22;1259000000,0;-492000000,0;-497420392,0;13,35;7,42;17,06;2,24;877000000,0;379000000,0;-126734885,0;17,03;10,25;17,06;2,24;877000000,0;379000000,0;-126734885,0;17,03;10,25
5;Acciona Energía;ANE.MC;IBEX 35;Energía;12,93;6,19;232000000,0;212000000,0;74851580,0;36,8;26,36;8,96;3,57;368000000,0;-1543000000,0;-333063557,0;39,67;25,51;6,11;2,2;-453000000,0;-949000000,0;-531240747,0;35,17;21,23;11,22;4,45;-1249000000,0;-596000000,0;-192942041,0;50,74;30,56;11,22;4,45;-1249000000,0;-596000000,0;-192942041,0;50,74;30,56
6;BBVA;BBVA.MC;IBEX 35;Banca;13,56;0,89;19018000000,0;21276000000,0;;;;15,51;1,03;503000000,0;-2540000000,0;;;;18,07;1,3;-17286000000,0;-20201000000,0;;;;18,33;1,22;15502000000,0;13162000000,0;;;;18,33;1,22;15502000000,0;13162000000,0;;;
7;Bankinter;BKT.MC;IBEX 35;Banca;11,42;0,52;-8607226000,0;-8107226000,0;;;;15,87;0,75;868037000,0;568037000,0;;;;16,21;0,78;1990342000,0;1790342000,0;;;;17,0;0,83;33381000,0;-766619000,0;;;;17,0;0,83;33381000,0;-766619000,0;;;
8;CaixaBank;CABK.MC;IBEX 35;Banca;9,29;0,52;-81801000000,0;-80791000000,0;;;;13,26;0,79;15761000000,0;14943000000,0;;;;15,71;0,92;15841000000,0;16091000000,0;;;;15,3;0,89;4934000000,0;3439000000,0;;;;15,3;0,89;4934000000,0;3439000000,0;;;
9;Cellnex Telecom;CLNX.MC;IBEX 35;Telecomunicaciones;-2,09;-0,68;1404305000,0;-739374000,0;-3251815503,0;75,75;4,29;-2,13;-0,67;561320000,0;-126003000,0;-3057466456,0;77,31;8,46;-0,2;-0,06;-305219000,0;276237000,0;-3122410370,0;66,92;2,84;-2,98;-0,86;1035710000,0;525822000,0;-2726856476,0;72,52;7,65;-2,98;-0,86;1035710000,0;525822000,0;-2726856476,0;72,52;7,65
10;Colonial;COL.MC;IBEX 35;Inmobiliario;0,13;0,06;829606000,0;249205000,0;-918319010,0;37,58;35,09;-20,65;-8,61;42124000,0;255624000,0;-1966659713,0;-284,28;-286,55;5,41;2,51;88598000,0;358173000,0;-446984158,0;94,53;93,07;5,86;2,77;397429000,0;282429000,0;-488913824,0;115,96;114,44;5,86;2,77;397429000,0;282429000,0;-488913824,0;115,96;114,44
11;Enagás;ENG.MC;IBEX 35;Energía;11,73;4,0;-396254000,0;635245000,0;-166464596,0;92,53;64,94;11,48;4,03;-189097000,0;411872000,0;-153241205,0;89,34;59,22;-12,6;-3,99;-174527000,0;357100000,0;-686197652,0;8,91;-22,8;14,74;4,97;-392018000,0;94420000,0;-42650501,0;79,42;49,87;14,74;4,97;-392018000,0;94420000,0;-42650501,0;79,42;49,87
12;Endesa;ELE.MC;IBEX 35;Utilities;45,73;5,08;3441000000,0;-460000000,0;424619558,0;16,54;11,46;10,57;1,8;4534000000,0;2413000000,0;-1023332958,0;13,26;6,21;23,28;5,06;2499000000,0;1721000000,0;-42855156,0;23,65;14,56;25,79;5,86;2190000000,0;2207000000,0;215883087,0;25,28;15,48;25,79;5,86;2190000000,0;2207000000,0;215883087,0;25,28;15,48
13;Ferrovial;FER.MC;IBEX 35;Infraestructuras;4,57;0,71;1377000000,0;907000000,0;-1121388192,0;12,24;8,28;9,05;1,3;1307000000,0;1177000000,0;-769480984,0;17,36;12,65;53,32;11,17;456000000,0;1067000000,0;2118058923,0;49,62;44,8;15,03;3,24;1719000000,0;1739000000,0;-253040748,0;20,75;15,66;15,03;3,24;1719000000,0;1739000000,0;-253040748,0;20,75;15,66
14;Fluidra;FDR.MC;IBEX 35;Industria;9,58;4,24;259324000,0;41907000,0;-53026840,0;17,96;11,5;7,26;3,25;245694000,0;364800000,0;-76264132,0;18,38;10,83;8,38;3,8;237494000,0;237494000,0;-61192191,0;19,54;12,01;11,06;5,16;271502000,0;271502000,0;-14771858,0;20,79;13,52;11,06;5,16;271502000,0;271502000,0;-14771858,0;20,79;13,52
15;Grifols;GRF.MC;IBEX 35;Salud;3,28;0,87;-394299000,0;-394299000,0;-962890509,0;19,68;12,91;0,78;0,2;-93000000,0;-93000000,0;-922041538,0;17,72;10,95;2,67;0,73;530000000,0;530000000,0;-755420000,0;20,58;14,5;7,63;2,04;624000000,0;624000000,0;-447147317,0;21,81;15,83;7,63;2,04;624000000,0;624000000,0;-447147317,0;21,81;15,83
16;IAG;IAG.MC;IBEX 35;Aerolíneas;21,38;1,1;1365000000,0;979000000,0;-471104578,0;15,18;6,04;81,14;7,05;-1947000000,0;1320000000,0;2008317081,0;21,1;14,09;44,28;6,24;4620000000,0;3556000000,0;1468186158,0;21,27;13,91;44,04;7,8;1984000000,0;3146000000,0;2004747081,0;23,94;16,03;44,04;7,8;1984000000,0;3146000000,0;2004747081,0;23,94;16,03
17;Iberdrola;IBE.MC;IBEX 35;Utilities;10,55;2,89;8210000000,0;3656000000,0;-3185499523,0;24,99;14,81;11,14;3,2;6718000000,0;4253000000,0;-2745514875,0;30,21;18,44;11,91;3,55;9473000000,0;3550000000,0;-4270072925,0;35,34;18,1;12,55;3,91;5777000000,0;3317000000,0;-2442967944,0;38,03;23,3;12,55;3,91;5777000000,0;3317000000,0;-2442967944,0;38,03;23,3
18;Inditex;ITX.MC;IBEX 35;Consumo;;;;;;;;24,28;13,77;5259000000,0;5259000000,0;2510773527,0;25,42;16,89;28,86;16,44;6798000000,0;6795000000,0;3703975866,0;27,92;19,87;29,81;16,9;6616236000,0;6616236000,0;4187666344,0;28,74;20,52;30,5;17,45;6520075000,0;6520075000,0;4469993850,0;29,25;21,05
19;Indra;IDR.MC;IBEX 35;Tecnología;17,42;3,79;-204447000,0;296142000,0;10577932,0;10,1;7,5;18,41;4,36;31762000,0;316814000,0;50142399,0;10,48;8,2;21,4;5,6;154090000,0;339895000,0;118312910,0;11,26;9,05;25,13;4,77;1296200000,0;378457000,0;45643185,0;14,09;11,91;25,13;4,77;1296200000,0;378457000,0;45643185,0;14,09;11,91
20;Logista;LOG.MC;IBEX 35;Distribución;35,38;2,58;606198000,0;606198000,0;137523614,0;3,58;2,51;46,09;3,38;265844000,0;263454000,0;192472854,0;4,3;3,03;48,05;3,81;350223000,0;350223000,0;227137914,0;4,57;3,29;;;;;;;;;;350223000,0;350223000,0;;4,57;3,29
21;Mapfre;MAP.MC;IBEX 35;Seguros;7,23;1,08;847200000,0;347200000,0;;;;8,0;1,23;1398800000,0;1398800000,0;;;;10,88;1,71;1211600000,0;1211600000,0;;;;12,04;1,94;1423800000,0;1423800000,0;;;;12,04;1,94;1423800000,0;1423800000,0;;;
22;Meliá Hotels;MEL.MC;IBEX 35;Hoteles;26,79;2,55;338443000,0;380795000,0;-100040605,0;28,33;14,21;22,95;2,65;243172000,0;274995000,0;-49447124,0;26,8;13,35;18,55;3,07;-55181000,0;338212000,0;-66987958,0;28,24;16,22;20,16;3,65;415028000,0;342776000,0;-39425003,0;29,33;16,81;20,16;3,65;415028000,0;342776000,0;-39425003,0;29,33;16,81
23;Merlin Properties;MRL.MC;IBEX 35;Inmobiliario;3,84;2,18;-1097850000,0;220440000,0;-757938019,0;34,95;34,52;-1,28;-0,69;503174000,0;225958000,0;-917450559,0;7,87;7,43;3,78;2,11;674560000,0;297304000,0;-600907923,0;87,05;86,17;9,74;5,51;452220000,0;405028000,0;-129894226,0;177,05;176,11;9,74;5,51;452220000,0;405028000,0;-129894226,0;177,05;176,11
24;Naturgy;NTGY.MC;IBEX 35;Energía;21,77;4,08;1852000000,0;2555000000,0;-177936167,0;13,28;9,21;21,02;5,24;1954000000,0;2433000000,0;330044024,0;22,96;16,53;20,06;4,66;1795000000,0;1795000000,0;296496492,0;28,4;20,39;21,65;5,17;2376000000,0;2376000000,0;434947943,0;28,49;20,26;21,65;5,17;2376000000,0;2376000000,0;434947943,0;28,49;20,26
25;PharmaMar;PHM.MC;IBEX 35;Salud;22,14;12,55;20811000,0;29469000,0;16622875,0;26,52;23,51;0,59;0,33;-30893000,0;-29402000,0;-20475810,0;2,88;-0,76;12,54;7,47;-575000,0;-9483000,0;-10515500,0;12,14;8,27;29,78;18,98;42288000,0;43751000,0;22046604,0;31,68;28,05;29,78;18,98;42288000,0;43751000,0;22046604,0;31,68;28,05
26;Puig Brands;PUIG.MC;IBEX 35;Consumo;42,28;5,61;1096828000,0;268147000,0;-34622495,0;19,11;15,1;48,97;6,03;633028000,0;378555000,0;61192648,0;20,37;16,32;15,05;6,17;-97093000,0;548773000,0;58715043,0;20,46;16,06;15,23;6,95;220859000,0;660560000,0;160015937,0;22,16;17,48;15,23;6,95;220859000,0;660560000,0;160015937,0;22,16;17,48
27;Red Eléctrica;RDEIF;IBEX 35;Utilities;13,88;4,5;-379503000,0;-379503000,0;-177849220,0;75,98;48,93;12,75;4,76;-494829000,0;-494829000,0;-207677071,0;79,33;55,21;7,15;2,44;-122997000,0;-122997000,0;-327638725,0;80,35;51,39;9,63;3,3;-393868000,0;-393868000,0;-407742522,0;78,67;50,12;9,63;3,3;-393868000,0;-393868000,0;-407742522,0;78,67;50,12
28;Repsol;REP.MC;IBEX 35;Energía;16,81;7,09;3149000000,0;4297000000,0;1152458579,0;13,22;10,11;12,09;5,14;212000000,0;2222000000,0;-90243299,0;12,3;8,17;6,63;2,78;-141000000,0;-141000000,0;-1818872597,0;9,81;4,68;7,55;3,2;1619000000,0;1619000000,0;-1191976315,0;10,44;6,0;7,55;3,2;1619000000,0;1619000000,0;-1191976315,0;10,44;6,0
29;Sabadell;SAB.MC;IBEX 35;Banca;6,81;0,35;-7811497000,0;-7061497000,0;;;;9,62;0,57;-10955808000,0;-11055808000,0;;;;12,18;0,76;-11115919000,0;-11615919000,0;;;;12,64;0,72;1267184000,0;1067184000,0;;;;12,64;0,72;1267184000,0;1067184000,0;;;
30;Sacyr;SCYR.MC;IBEX 35;Construcción;20,63;0,63;1338193000,0;120681000,0;-334907563,0;24,34;21,26;19,25;0,89;722764000,0;624311000,0;76655570,0;31,06;27,63;11,26;0,63;1187361000,0;961336000,0;-343118806,0;29,35;25,79;8,25;0,49;1440272000,0;1103552000,0;-164170080,0;27,93;23,98;8,25;0,49;1440272000,0;1103552000,0;-164170080,0;27,93;23,98
31;Santander;SAN.MC;IBEX 35;Banca;10,78;0,55;14694000000,0;16866000000,0;;;;11,61;0,62;-4552000000,0;-8628000000,0;;;;12,75;0,68;-31848000000,0;-34753000000,0;;;;13,67;0,76;-29029000000,0;-22494000000,0;;;;13,67;0,76;-29029000000,0;-22494000000,0;;;
32;Solaria;SLR.MC;IBEX 35;Energía;26,23;6,31;1966000,0;-212816000,0;9752058,0;105,85;87,91;20,56;6,52;-67914000,0;-230526000,0;19134726,0;105,22;88,77;14,43;4,5;-14615000,0;-72066000,0;-17317413,0;114,13;89,45;19,51;5,62;76376000,0;-260098000,0;12457041,0;135,09;110,57;19,51;5,62;76376000,0;-260098000,0;12457041,0;135,09;110,57
33;Telefónica;TEF.MC;IBEX 35;Telecomunicaciones;8,02;1,83;1380000000,0;5413000000,0;-2230518784,0;14,98;14,98;-4,08;-0,86;4787000000,0;5488000000,0;-5318250000,0;3,79;3,79;-0,25;-0,05;7428000000,0;6143000000,0;-2187491757,0;13,96;13,96;-30,28;-4,69;3197000000,0;4667000000,0;-4602003706,0;2,97;2,97;-30,28;-4,69;3197000000,0;4667000000,0;-4602003706,0;2,97;2,97
34;Unicaja Banco;UNI.MC;IBEX 35;Banca;4,3;0,28;-17447461000,0;-17411149000,0;;;;4,01;0,27;2747272000,0;2765272000,0;;;;8,51;0,59;-406547000,0;-406547000,0;;;;8,94;0,64;-1529603000,0;-1529603000,0;;;;8,94;0,64;-1529603000,0;-1529603000,0;;;
35;Viscofan;VIS.MC;IBEX 35;Alimentación;15,37;10,35;64065000,0;5163000,0;58860678,0;21,94;15,43;14,72;10,01;106992000,0;68584000,0;61264456,0;21,17;14,34;16,75;11,16;172833000,0;160795000,0;80400149,0;24,97;18,01;17,24;11,09;179437000,0;114922000,0;83524160,0;21,67;14,87;17,24;11,09;179437000,0;114922000,0;83524160,0;21,67;14,87
36;Adidas;ADS.DE;DAX 40;Consumo;12,26;3,02;-180000000,0;-1174000000,0;-539434433,0;8,44;2,33;-1,64;-0,42;1549000000,0;2046000000,0;-629410000,0;6,17;1,05;13,95;3,7;1873000000,0;2370000000,0;101487814,0;10,61;5,67;23,2;6,61;438000000,0;274000000,0;656063297,0;12,77;8,25;23,2;6,61;438000000,0;274000000,0;656063297,0;12,77;8,25
37;Airbus;AIR.DE;DAX 40;Aeroespacial;32,8;3,66;3824000000,0;3824000000,0;-596150148,0;13,96;9,34;21,41;3,19;3204000000,0;3204000000,0;-1023933512,0;11,87;8,44;21,59;3,28;3733000000,0;3733000000,0;-732665438,0;13,26;9,14;20,0;3,87;4031000000,0;4031000000,0;-152791181,0;13,96;9,7;20,0;3,87;4031000000,0;4031000000,0;-152791181,0;13,96;9,7
38;Allianz;ALV.DE;DAX 40;Seguros;11,8;0,69;18702000000,0;16334000000,0;;16,61;13,88;14,67;0,87;23572000000,0;22322000000,0;;12,1;10,21;16,47;0,95;33107000000,0;29988000000,0;;12,1;10,56;17,18;1,05;32838000000,0;30944000000,0;;13,38;11,8;17,18;1,05;32838000000,0;30944000000,0;;13,38;11,8
39;BASF;BAS.DE;DAX 40;Química;-1,58;-0,74;3334000000,0;3334000000,0;-3689310000,0;7,0;2,19;0,64;0,29;2716000000,0;2716000000,0;-3128670000,0;10,64;3,47;3,65;1,61;748000000,0;748000000,0;-3065063342,0;12,28;4,71;4,88;2,13;1343000000,0;1343000000,0;-2623026105,0;12,73;5,75;4,88;2,13;1343000000,0;1343000000,0;-2623026105,0;12,73;5,75
40;Bayer;BAYN.DE;DAX 40;Salud;10,7;3,32;3170000000,0;4144000000,0;-1360852848,0;25,68;12,86;-8,93;-2,53;5619000000,0;2366000000,0;-6624660000,0;21,93;0,89;-8,0;-2,3;-428000000,0;4590000000,0;-6530019949,0;18,9;0,05;-13,95;-3,46;1398000000,0;3443000000,0;-6491805024,0;4,22;-1,9;-13,95;-3,46;1398000000,0;3443000000,0;-6491805024,0;4,22;-1,9
41;Beiersdorf;BEI.DE;DAX 40;Consumo;9,7;6,11;253000000,0;249000000,0;95295474,0;15,9;12,64;8,84;5,83;240000000,0;424000000,0;36623529,0;16,72;11,97;10,76;7,01;641000000,0;794000000,0;221291704,0;17,64;14,02;10,92;7,36;315000000,0;322000000,0;239167537,0;17,36;14,03;10,92;7,36;315000000,0;322000000,0;239167537,0;17,36;14,03
42;BMW;BMW.DE;DAX 40;Automoción;20,59;7,27;4421000000,0;14473000000,0;5763396759,0;22,65;16,65;12,6;4,5;4864000000,0;6661000000,0;-479330108,0;17,19;11,42;7,9;2,72;3204000000,0;-4639000000,0;-6324428789,0;14,18;8,11;7,62;2,74;4744000000,0;-2735000000,0;-6879348363,0;14,6;8,09;7,62;2,74;4744000000,0;-2735000000,0;-6879348363,0;14,6;8,09
43;Brenntag;BNR.DE;DAX 40;Química;18,66;7,8;928700000,0;689500000,0;325586752,0;8,97;6,88;16,61;6,92;747900000,0;1342800000,0;218666680,0;8,96;6,65;11,34;4,6;1373700000,0;564400000,0;-5028331,0;8,2;5,47;6,13;2,49;640500000,0;673700000,0;-179604000,0;8,05;4,16;6,13;2,49;640500000,0;673700000,0;-179604000,0;8,05;4,16
44;Commerzbank;CBK.DE;DAX 40;Banca;4,78;0,3;25184000000,0;25184000000,0;;;;6,95;0,43;19284000000,0;19284000000,0;;;;7,77;0,48;-21442000000,0;-21442000000,0;;;;7,76;0,44;-7874000000,0;-7874000000,0;;;;7,76;0,44;-7874000000,0;-7874000000,0;;;
45;Continental;CON.DE;DAX 40;Automoción;0,5;0,18;1573600000,0;126400000,0;-1091117000,0;10,17;2,02;8,45;3,06;734000000,0;1186000000,0;-304843857,0;10,16;4,92;8,14;3,16;1489000000,0;1878000000,0;-176261139,0;16,09;10,56;-4,19;-0,93;1630000000,0;1118000000,0;-590180000,0;9,7;1,64;-4,19;-0,93;1630000000,0;1118000000,0;-590180000,0;9,7;1,64
46;Covestro;1COV.DE;DAX 40;Química;-3,84;-1,86;1133000000,0;138000000,0;-700400000,0;9,16;1,65;-3,0;-1,45;-185000000,0;232000000,0;-645620000,0;7,9;1,68;-4,0;-1,95;-325000000,0;89000000,0;-705400000,0;7,87;0,93;-9,2;-4,78;-353000000,0;-283000000,0;-1000184959,0;5,81;-2,59;-9,2;-4,78;-353000000,0;-283000000,0;-1000184959,0;5,81;-2,59
47;Daimler Truck;DTG.DE;DAX 40;Automoción;13,29;4,17;3403000000,0;-1655000000,0;-480090067,0;9,45;7,25;17,47;5,3;3024000000,0;-920000000,0;375539478,0;12,22;10,19;13,06;3,93;1786000000,0;-321000000,0;-847395848,0;10,11;7,81;9,14;2,72;5415000000,0;2861000000,0;-1915074952,0;9,23;6,87;9,14;2,72;5415000000,0;2861000000,0;-1915074952,0;9,23;6,87
48;Deutsche Bank;DBK.DE;DAX 40;Banca;7,83;0,41;-431000000,0;-2450000000,0;;;;6,53;0,36;4611000000,0;5184000000,0;;;;4,33;0,24;-29797000000,0;-29112000000,0;;;;8,81;0,48;43451000000,0;46621000000,0;;;;8,81;0,48;43451000000,0;46621000000,0;;;
49;Deutsche Börse;DB1.DE;DAX 40;Finanzas;17,64;0,56;1896700000,0;2158400000,0;-234263567,0;48,72;41,92;17,84;0,73;5211400000,0;2281200000,0;-224395682,0;48,95;42,08;18,09;0,88;1828000000,0;2050000000,0;116720000,0;48,75;41,69;17,64;0,67;1847000000,0;2430000000,0;124995870,0;48,1;41,31;17,64;0,67;1847000000,0;2430000000,0;124995870,0;48,1;41,31
50;Deutsche Post (DHL);DHL.DE;DAX 40;Logística;23,06;7,83;7053000000,0;7053000000,0;2473873397,0;13,42;9,04;16,35;5,5;5877000000,0;5877000000,0;816613764,0;13,22;7,78;14,0;4,77;5786000000,0;5786000000,0;399800111,0;12,84;7,24;15,75;4,93;6324000000,0;6324000000,0;519392406,0;13,53;7,67;15,75;4,93;6324000000,0;6324000000,0;519392406,0;13,53;7,67
51;Deutsche Telekom;DTE.DE;DAX 40;Telecomunicaciones;16,48;2,68;711000000,0;11705000000,0;-6539195605,0;39,15;14,66;31,25;6,13;17705000000,0;19432000000,0;-7104972727,0;38,69;17,15;17,71;3,68;20703000000,0;20703000000,0;1272111147,0;46,58;25,81;15,46;3,32;21371000000,0;21371000000,0;-296114176,0;42,24;22,01;15,46;3,32;21371000000,0;21371000000,0;-296114176,0;42,24;22,01
52;E.ON;EOAN.DE;DAX 40;Utilities;11,5;1,37;3920000000,0;5469000000,0;-3206441542,0;6,05;3,13;3,66;0,46;-356000000,0;-356000000,0;-4206940000,0;6,4;2,65;25,4;4,07;-1298000000,0;-1298000000,0;643024100,0;17,26;11,77;9,0;1,57;-937000000,0;-937000000,0;-2657900359,0;11,79;6,62;9,0;1,57;-937000000,0;-937000000,0;-2657900359,0;11,79;6,62
53;Fresenius;FRE.DE;DAX 40;Salud;6,72;1,8;3544000000,0;3005000000,0;-3533371271,0;14,39;9,02;-3,13;-1,31;4056000000,0;3170000000,0;-1907320000,0;12,78;6,13;2,41;1,08;-609000000,0;1387000000,0;-1233215791,0;15,82;10,18;6,62;3,05;-483000000,0;1077000000,0;-708328373,0;16,41;11,51;6,62;3,05;-483000000,0;1077000000,0;-708328373,0;16,41;11,51
54;Hannover Rück;HNR1.DE;DAX 40;Seguros;8,62;1,24;5803627000,0;4947100000,0;;6,49;6,87;18,02;2,78;5785500000,0;5785500000,0;;9,15;9,15;19,74;3,23;5681900000,0;5681900000,0;;14,07;14,07;20,43;3,7;5686900000,0;5686900000,0;;14,77;14,77;20,43;3,7;5686900000,0;5686900000,0;;14,77;14,77
55;Heidelberg Materials;HEI.DE;DAX 40;Materiales;9,65;4,8;-306800000,0;1085000000,0;-318543639,0;17,87;11,23;11,19;5,44;2642500000,0;1875400000,0;111575377,0;20,31;14,49;9,48;4,78;1368100000,0;1821600000,0;-323159644,0;20,81;13,51;10,69;5,37;1533100000,0;1840200000,0;52688130,0;21,48;14,96;10,69;5,37;1533100000,0;1840200000,0;52688130,0;21,48;14,96
56;Henkel;HEN3.DE;DAX 40;Consumo;6,27;3,8;550000000,0;654000000,0;-609171273,0;11,81;7,9;6,62;4,15;2061000000,0;2647000000,0;-495541716,0;13,59;9,32;9,24;5,69;3717000000,0;2494000000,0;35624414,0;17,04;13,21;9,93;6,26;1463000000,0;1842000000,0;217320704,0;17,19;13,88;9,93;6,26;1463000000,0;1842000000,0;217320704,0;17,19;13,88
57;Infineon;IFX.DE;DAX 40;Semiconductores;14,58;8,1;277000000,0;1670000000,0;594076328,0;31,85;20,15;18,41;11,03;213000000,0;966000000,0;1443888651,0;35,77;25,01;7,56;4,54;238000000,0;61000000,0;30059537,0;27,95;15,48;5,95;3,33;2628000000,0;1123000000,0;-808349091,0;23,96;10,89;5,95;3,33;2628000000,0;1123000000,0;-808349091,0;23,96;10,89
58;Mercedes-Benz;MBG.DE;DAX 40;Automoción;16,98;5,58;-3521000000,0;9995000000,0;1391478288,0;18,17;13,82;15,54;5,42;6072000000,0;6257000000,0;652386276,0;18,01;13,63;11,02;3,85;9070000000,0;9070000000,0;-4374556220,0;14,77;10,12;5,51;2,01;8264000000,0;8264000000,0;-8867198689,0;10,52;5,05;5,51;2,01;8264000000,0;8264000000,0;-8867198689,0;10,52;5,05
59;Merck KGaA;MRK.DE;DAX 40;Salud;12,83;6,85;1865000000,0;2453000000,0;400353590,0;29,47;20,34;10,58;5,82;1193000000,0;1761000000,0;-88568060,0;27,08;18,13;9,28;5,38;2455000000,0;2402000000,0;-209096968,0;28,18;18,09;9,12;5,06;3651000000,0;1974000000,0;-478663966,0;28,4;17,51;9,12;5,06;3651000000,0;1974000000,0;-478663966,0;28,4;17,51
60;MTU Aero Engines;MTX.DE;DAX 40;Aeroespacial;10,91;3,59;347000000,0;347000000,0;-70794989,0;16,21;9,53;-3,56;-1,0;371000000,0;365000000,0;-517280000,0;3,65;-2,54;18,82;5,07;1119000000,0;74000000,0;195345251,0;19,88;13,36;23,55;7,99;-167000000,0;333000000,0;514926314,0;21,58;16,83;23,55;7,99;-167000000,0;333000000,0;514926314,0;21,58;16,83
61;Munich Re;MUV2.DE;DAX 40;Seguros;19,61;1,97;3166000000,0;3623000000,0;;33,16;25,92;15,53;1,68;2063000000,0;2197000000,0;;19,46;18,66;17,39;1,99;4173000000,0;2827000000,0;;13,17;12,59;18,4;2,19;5649000000,0;4606000000,0;;15,01;14,44;18,4;2,19;5649000000,0;4606000000,0;;15,01;14,44
62;Porsche AG;P911.DE;DAX 40;Automoción;29,13;10,41;3027000000,0;3453000000,0;2555612733,0;27,57;19,09;23,8;10,22;4026000000,0;2926000000,0;2335262780,0;27,36;18,65;15,59;6,71;6780000000,0;6353000000,0;613653828,0;23,8;13,6;1,87;0,82;3614000000,0;3614000000,0;-2659789663,0;16,72;1,69;1,87;0,82;3614000000,0;3614000000,0;-2659789663,0;16,72;1,69
63;Porsche SE;PAH3.DE;DAX 40;Holding;10,53;9,23;7861000000,0;791000000,0;911685151,0;99,41;99,39;9,21;8,17;6370000000,0;1659000000,0;432943647,0;100,33;100,31;-57,02;-46,72;3022000000,0;1431000000,0;-23074656179,0;99,63;99,64;7,01;5,89;2200000000,0;700000000,0;-631707680,0;107,84;107,8;7,01;5,89;2200000000,0;700000000,0;-631707680,0;107,84;107,8
64;Qiagen;QIA.DE;DAX 40;Salud;12,21;6,73;457377000,0;565928000,0;46334446,0;36,39;26,66;8,96;5,58;-140109000,0;296653000,0;-19156914,0;35,04;24,59;2,34;1,47;394984000,0;502309000,0;-257966146,0;18,62;8,34;11,25;6,76;655351000,0;447200000,0;-7826841,0;34,32;25,05;11,25;6,76;655351000,0;447200000,0;-7826841,0;34,32;25,05
65;Rheinmetall;RHM.DE;DAX 40;Defensa;16,81;5,85;-158000000,0;-175000000,0;204364011,0;15,6;11,7;16,13;4,57;1267000000,0;345000000,0;215963681,0;17,2;12,9;17,7;5,0;1008000000,0;988000000,0;318464658,0;21,85;16,64;13,89;4,15;901000000,0;1415000000,0;646698626,0;22,03;16,99;13,89;4,15;901000000,0;1415000000,0;646698626,0;22,03;16,99
66;RWE;RWE.DE;DAX 40;Utilities;9,85;1,96;5101000000,0;-2078000000,0;-3551040000,0;3,73;4,02;4,73;1,42;-1499000000,0;-923000000,0;-1658520000,0;33,1;19,7;16,28;5,22;-1087000000,0;-2757000000,0;540191159,0;43,93;30,74;9,11;3,08;-1287000000,0;-5060000000,0;-2357425420,0;39,09;23,43;9,11;3,08;-1287000000,0;-5060000000,0;-2357425420,0;39,09;23,43
67;SAP;SAP.DE;DAX 40;Tecnología;5,68;3,17;3073000000,0;4770000000,0;-1039002269,0;21,95;16,64;14,22;8,98;1061000000,0;5461000000,0;-264494140,0;23,56;19,16;6,88;4,21;5682000000,0;4410000000,0;-902041058,0;19,28;15,53;16,06;10,18;4929000000,0;8417000000,0;3441283194,0;32,81;29,24;16,06;10,18;4929000000,0;8417000000,0;3441283194,0;32,81;29,24
68;Sartorius;SRT.DE;DAX 40;Salud;34,08;9,72;616400000,0;211600000,0;526347052,0;36,03;29,15;9,94;2,11;2788000000,0;293900000,0;-273749542,0;25,71;15,66;3,04;0,83;-268700000,0;566300000,0;-419857974,0;23,27;10,97;5,72;1,59;55400000,0;395100000,0;-270266938,0;26,32;14,45;5,72;1,59;55400000,0;395100000,0;-270266938,0;26,32;14,45
